Type,ID,Label,Parent,Plant structure,Text definition,Superclass of,Equivalent to,Ignore,Notes,Plant type
Class,PPO:0002339,'open flower heads present','open flower head presence','open flower head',An {'open flower head presence'} trait that is a {quality of} a {whole plant} that has at least one {'open flower head'}.,"'open flower head presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'open flower head'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'open flower head'
)",,,
Class,PPO:0002340,'pollen-releasing flower heads present','pollen-releasing flower head presence','pollen-releasing flower head',A {'pollen-releasing flower head presence'} trait that is a {quality of} a {whole plant} that has at least one {'pollen-releasing flower head'}.,"'pollen-releasing flower head presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'pollen-releasing flower head'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'pollen-releasing flower head'
)",,,
Class,PPO:0002341,'senesced flower heads present','senesced flower head presence','senesced flower head',A {'senesced flower head presence'} trait that is a {quality of} a {whole plant} that has at least one {'senesced flower head'}.,"'senesced flower head presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'senesced flower head'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'senesced flower head'
)",,,
Class,PPO:0002342,'fruits present','fruit presence','simple fruit or compound fruit',A {'fruit presence'} trait that is a {quality of} a {whole plant} that has at least one {'simple fruit or compound fruit'}.,"'fruit presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'simple fruit or compound fruit'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'simple fruit or compound fruit'
)",,,
Class,PPO:0002343,'ripening fruits present','ripening fruit presence','ripening fruit',A {'ripening fruit presence'} trait that is a {quality of} a {whole plant} that has at least one {'ripening fruit'}.,"'ripening fruit presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'ripening fruit'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'ripening fruit'
)",,,
Class,PPO:0002344,'unripe fruits present','unripe fruit presence','unripe fruit',An {'unripe fruit presence'} trait that is a {quality of} a {whole plant} that has at least one {'unripe fruit'}.,"'unripe fruit presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'unripe fruit'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'unripe fruit'
)",,,
Class,PPO:0002345,'ripe fruits present','ripe fruit presence','ripe fruit',A {'ripe fruit presence'} trait that is a {quality of} a {whole plant} that has at least one {'ripe fruit'}.,"'ripe fruit presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'ripe fruit'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'ripe fruit'
)",,,
,,,,,,,,,,
Class,PPO:0002346,'cones present','cone presence',PO:'strobilus',A {'cone presence'} trait that is a {quality of} a {whole plant} that has at least one cone {$PO:'strobilus'}.,"'cone presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME PO:'strobilus'
) AND 'depends on structure' SOME (
    'has visible part' SOME PO:'strobilus'
)",,,
Class,PPO:0002347,'pollen cones present','pollen cone presence',PO:'microsporangiate strobilus',A {'pollen cone presence'} trait that is a {quality of} a {whole plant} that has at least one pollen cone {$PO:'microsporangiate strobilus'}.,"'pollen cone presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME PO:'microsporangiate strobilus'
) AND 'depends on structure' SOME (
    'has visible part' SOME PO:'microsporangiate strobilus'
)",,,
Class,PPO:0002348,'fresh pollen cones present','fresh pollen cone presence','fresh pollen cone',A {'fresh pollen cone presence'} trait that is a {quality of} a {whole plant} that has at least one {'fresh pollen cone'}.,"'fresh pollen cone presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'fresh pollen cone'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'fresh pollen cone'
)",,,
Class,PPO:0002349,'open pollen cones present','open pollen cone presence','open pollen cone',An {'open pollen cone presence'} trait that is a {quality of} a {whole plant} that has at least one {'open pollen cone'}.,"'open pollen cone presence' AND 'has quality datum' SOME (
    'data item' AND (
        ('lower count' SOME xsd:integer[>0]) OR
        ('lower percent' SOME xsd:decimal[>0.0])
    )
)","'plant structure presence' AND 'quality of' SOME (
    'whole plant' AND 'has visible part' SOME 'open pollen cone'
) AND 'depends on structure' SOME (
    'has visible part' SOME 'open pollen cone'
)",,,
